0,1,2,3,4,5,6
33190195,10027.17,49697,15.01,0,596003,180.06
29977861,2172.3,406980,29.49,42640,389302,28.21
17927928,8434.31,515162,242.36,44178,501825,236.09
5650315,8687.53,14066,21.63,290,109879,168.94
5375593,6373.79,39520,46.86,5294,49236,58.38
5350919,3666.66,114326,46.86,16715,130347,89.32
4640511,6835.74,67088,46.86,10467,127981,188.52
4268789,9445.11,144599,46.86,10395,89043,197.02
4253460,7131.71,7681,46.86,484,127291,213.43
3945166,7753.42,191942,46.86,27818,99934,196.4
3764651,7953.61,19840,46.86,786,80689,170.47
3722782,4476.29,6612,46.86,455,90472,108.78
3105620,3697.48,66188,46.86,10485,83101,98.94
2879030,7584.75,1211,46.86,190,74858,197.21
2477283,1921.38,23107,46.86,1578,231187,179.31
2230142,5099.36,5150,46.86,296,52053,119.02
2029625,6155.63,26000,46.86,2896,190425,577.54
2018113,737.82,90405,46.86,13668,55291,20.21
1832479,3089.73,79849,46.86,9160,58795,99.13
1679542,9648.33,6049,46.86,585,17727,101.83
1666192,15580.71,865,46.86,110,30283,283.18
1522223,7963,39560,46.86,5205,31645,165.54
1408835,3732.79,6709,46.86,712,26076,69.09
1364239,1244.96,42197,46.86,5249,23749,21.67
1292700,3213.87,33017,46.86,5235,16910,42.04
1084636,10502.32,0,46.86,0,14574,141.12
1080323,5589.18,547,46.86,41,32465,167.96
1079640,9369.89,2139,46.86,0,25141,218.19
949175,429.7,6986,46.86,907,22007,9.96
865806,8409.22,7734,46.86,756,17068,165.77
861150,522.89,27859,46.86,4846,13702,8.32
840032,9705.14,343,46.86,146,6428,74.26
807684,8267.38,582,46.86,54,29879,305.84
786298,621.7,9991,46.86,1011,14454,11.43
747000,7321.28,3123,46.86,520,9671,94.78
715841,10334.51,826,46.86,88,7004,101.12
701019,2165.91,38562,46.86,4611,4477,13.83
698872,8075.13,875,46.86,1,10270,118.66
645609,7253.17,968,46.86,77,10419,117.05
626343,2149.66,14141,46.86,3703,8813,30.25
613993,6207.97,14170,46.86,1964,1763,17.83
543551,7963.6,902,46.86,46,7825,114.64
526737,1427.06,2738,46.86,86,9244,25.04
475403,1365.56,8497,46.86,1212,7691,22.09
466125,2482.46,5785,46.86,0,7666,40.83
446633,2531.49,7494,46.86,192,21304,120.75
422047,3615.58,15093,46.86,1086,16132,138.2
421152,6058.45,659,46.86,120,18000,258.94
418548,3904.89,3147,46.86,206,12565,117.23
411153,4351.14,4793,46.86,475,3053,32.31
406220,5695.31,14784,46.86,1145,11633,163.1
393727,9125.1,5885,46.86,583,6475,150.07
391385,7171.02,298,46.86,59,12502,229.06
385428,3261.19,15204,46.86,2478,14118,119.46
360055,9025.8,4687,46.86,914,5199,130.33
359259,8852.75,582,46.86,75,8188,201.77
354865,10215.68,16352,46.86,1488,5271,151.74
353298,6935.41,10560,46.86,1086,4506,88.45
341514,6694.5,983,46.86,0,3819,74.86
340967,7984.11,11441,46.86,1935,1877,43.95
335521,3309.15,325,46.86,28,4963,48.95
317645,2928.17,8168,46.86,858,3758,34.64
291801,5011.38,1690,46.86,149,2531,43.47
280854,1567.65,8864,46.86,347,8735,48.76
278466,9966.25,524,46.86,59,4371,156.44
277797,271.46,4002,46.86,509,15898,15.54
275194,239.37,848,46.86,0,4283,3.73
269321,5425,2357,46.86,284,4941,99.53
263295,15473.61,3772,46.86,403,1311,77.05
260740,916.94,9054,46.86,1327,2958,10.4
257001,12262.31,529,46.86,19,4741,226.21
256187,6350.75,357,46.86,47,6173,153.03
253875,2563.2,6147,46.86,747,6766,68.31
250572,4906.8,14132,46.86,2529,2741,53.68
241820,1129.3,13564,46.86,0,2576,12.03
225365,322.87,23101,46.86,4059,1693,2.43
224330,7570.44,525,46.86,77,4502,151.93
220930,7668.38,1043,46.86,130,583,20.24
204860,6244.18,192,46.86,9,9643,293.92
191038,2780.23,1754,46.86,290,3178,46.25
179293,333.44,3612,46.86,218,3461,6.44
169365,1495.28,10308,46.86,1561,1170,10.33
167378,81.2,300,46.86,223,2119,1.03
155627,7469.93,87,46.86,3,5477,262.89
151901,296.28,3255,46.86,395,2006,3.91
149247,274.3,3196,46.86,630,3267,6
139753,4885.01,330,46.86,40,2540,88.78
